  -14.0000000       195.000000       192.000000       187.000000       180.000000       171.000000       160.000000       147.000000       132.000000    
  -13.0000000       168.000000       165.000000       160.000000       153.000000       144.000000       133.000000       120.000000       105.000000    
  -12.0000000       143.000000       140.000000       135.000000       128.000000       119.000000       108.000000       95.0000000       80.0000000    
  -11.0000000       120.000000       117.000000       112.000000       105.000000       96.0000000       85.0000000       72.0000000       57.0000000    
  -10.0000000       99.0000000       96.0000000       91.0000000       84.0000000       75.0000000       64.0000000       51.0000000       36.0000000    
  -9.00000000       80.0000000       77.0000000       72.0000000       65.0000000       56.0000000       45.0000000       32.0000000       17.0000000    
  -8.00000000       63.0000000       60.0000000       55.0000000       48.0000000       39.0000000       28.0000000       15.0000000       0.00000000    
  -7.00000000       48.0000000       45.0000000       40.0000000       33.0000000       24.0000000       13.0000000       0.00000000      -15.0000000    
  -6.00000000       35.0000000       32.0000000       27.0000000       20.0000000       11.0000000       0.00000000      -13.0000000      -28.0000000    
  -5.00000000       24.0000000       21.0000000       16.0000000       9.00000000       0.00000000      -11.0000000      -24.0000000      -39.0000000    
  -4.00000000       15.0000000       12.0000000       7.00000000       0.00000000      -9.00000000      -20.0000000      -33.0000000      -48.0000000    
  -3.00000000       8.00000000       5.00000000       0.00000000      -7.00000000      -16.0000000      -27.0000000      -40.0000000      -55.0000000    
  -2.00000000       3.00000000       0.00000000      -5.00000000      -12.0000000      -21.0000000      -32.0000000      -45.0000000      -60.0000000    
  -1.00000000       0.00000000      -3.00000000      -8.00000000      -15.0000000      -24.0000000      -35.0000000      -48.0000000      -63.0000000    
   0.00000000      -1.00000000      -4.00000000      -9.00000000      -16.0000000      -25.0000000      -36.0000000      -49.0000000      -64.0000000    
   1.00000000       0.00000000      -3.00000000      -8.00000000      -15.0000000      -24.0000000      -35.0000000      -48.0000000      -63.0000000    
   2.00000000       3.00000000       0.00000000      -5.00000000      -12.0000000      -21.0000000      -32.0000000      -45.0000000      -60.0000000    
   3.00000000       8.00000000       5.00000000       0.00000000      -7.00000000      -16.0000000      -27.0000000      -40.0000000      -55.0000000    
   4.00000000       15.0000000       12.0000000       7.00000000       0.00000000      -9.00000000      -20.0000000      -33.0000000      -48.0000000    
   5.00000000       24.0000000       21.0000000       16.0000000       9.00000000       0.00000000      -11.0000000      -24.0000000      -39.0000000    
   6.00000000       35.0000000       32.0000000       27.0000000       20.0000000       11.0000000       0.00000000      -13.0000000      -28.0000000    
   7.00000000       48.0000000       45.0000000       40.0000000       33.0000000       24.0000000       13.0000000       0.00000000      -15.0000000    
   8.00000000       63.0000000       60.0000000       55.0000000       48.0000000       39.0000000       28.0000000       15.0000000       0.00000000    
   9.00000000       80.0000000       77.0000000       72.0000000       65.0000000       56.0000000       45.0000000       32.0000000       17.0000000    
   10.0000000       99.0000000       96.0000000       91.0000000       84.0000000       75.0000000       64.0000000       51.0000000       36.0000000    
   11.0000000       120.000000       117.000000       112.000000       105.000000       96.0000000       85.0000000       72.0000000       57.0000000    
   12.0000000       143.000000       140.000000       135.000000       128.000000       119.000000       108.000000       95.0000000       80.0000000    
   13.0000000       168.000000       165.000000       160.000000       153.000000       144.000000       133.000000       120.000000       105.000000    
   14.0000000       195.000000       192.000000       187.000000       180.000000       171.000000       160.000000       147.000000       132.000000    
   15.0000000       224.000000       221.000000       216.000000       209.000000       200.000000       189.000000       176.000000       161.000000    
